Name	x	y	z	ex	ey	ez
MEG1922	-0.0329	-0.0905	0.0595	-0.2725	-0.9339	0.2315
MEG1921	-0.0329	-0.0905	0.0595	-0.2725	-0.9339	0.2315
MEG1932	-0.0324	-0.0953	0.0257	-0.2944	-0.9538	0.0602
MEG1933	-0.0324	-0.0953	0.0257	-0.2944	-0.9538	0.0602
MEG1931	-0.0324	-0.0953	0.0257	-0.2944	-0.9538	0.0602
MEG1943	-0.0631	-0.0757	0.0579	-0.5874	-0.7896	0.1775
MEG1942	-0.0631	-0.0757	0.0579	-0.5874	-0.7896	0.1775
MEG1941	-0.0631	-0.0757	0.0579	-0.5874	-0.7896	0.1775
MEG2013	-0.0181	-0.0617	0.1202	-0.1191	-0.7179	0.6859
MEG2012	-0.0181	-0.0617	0.1202	-0.1191	-0.7179	0.6859
MEG2011	-0.0181	-0.0617	0.1202	-0.1191	-0.7179	0.6859
MEG2023	0.0192	-0.0618	0.1201	0.1568	-0.7132	0.6832
MEG2022	0.0192	-0.0618	0.1201	0.1568	-0.7132	0.6832
MEG2021	0.0192	-0.0618	0.1201	0.1568	-0.7132	0.6832
MEG2032	0.0176	-0.0813	0.0925	0.1467	-0.8806	0.4505
MEG2033	0.0176	-0.0813	0.0925	0.1467	-0.8806	0.4505
MEG2031	0.0176	-0.0813	0.0925	0.1467	-0.8806	0.4505
MEG2042	-0.0164	-0.0814	0.0924	-0.136	-0.8831	0.4491
MEG2043	-0.0164	-0.0814	0.0924	-0.136	-0.8831	0.4491
MEG2041	-0.0164	-0.0814	0.0924	-0.136	-0.8831	0.4491
MEG2113	0.0007	-0.0956	0.0608	0.0191	-0.967	0.2541
MEG2112	0.0007	-0.0956	0.0608	0.0191	-0.967	0.2541
MEG2111	0.0007	-0.0956	0.0608	0.0191	-0.967	0.2541
MEG2122	0.0008	-0.1007	0.0266	0.0058	-0.9987	0.0512
MEG2123	0.0008	-0.1007	0.0266	0.0058	-0.9987	0.0512
MEG2121	0.0008	-0.1007	0.0266	0.0058	-0.9987	0.0512
MEG2133	0.0179	-0.1029	-0.0076	0.159	-0.9818	0.1041
MEG2132	0.0179	-0.1029	-0.0076	0.159	-0.9818	0.1041
MEG2131	0.0179	-0.1029	-0.0076	0.159	-0.9818	0.1041
MEG2143	-0.0163	-0.103	-0.0078	-0.1894	-0.9766	0.1021
MEG2142	-0.0163	-0.103	-0.0078	-0.1894	-0.9766	0.1021
MEG2141	-0.0163	-0.103	-0.0078	-0.1894	-0.9766	0.1021
MEG2212	0.0522	-0.007	0.1394	0.4952	-0.1862	0.8486
MEG2213	0.0522	-0.007	0.1394	0.4952	-0.1862	0.8486
MEG2211	0.0522	-0.007	0.1394	0.4952	-0.1862	0.8486
MEG2223	0.0793	-0.0098	0.1165	0.7454	-0.2033	0.6348
MEG2222	0.0793	-0.0098	0.1165	0.7454	-0.2033	0.6348
MEG2221	0.0793	-0.0098	0.1165	0.7454	-0.2033	0.6348
MEG2233	0.056	-0.0441	0.1203	0.5142	-0.5303	0.6741
MEG2232	0.056	-0.0441	0.1203	0.5142	-0.5303	0.6741
MEG2231	0.056	-0.0441	0.1203	0.5142	-0.5303	0.6741
MEG2242	0.0187	-0.0337	0.1411	0.1344	-0.4634	0.8759
MEG2243	0.0187	-0.0337	0.1411	0.1344	-0.4634	0.8759
MEG2241	0.0187	-0.0337	0.1411	0.1344	-0.4634	0.8759
MEG2312	0.0521	-0.0702	0.0915	0.4527	-0.7935	0.4067
MEG2313	0.0521	-0.0702	0.0915	0.4527	-0.7935	0.4067
MEG2311	0.0521	-0.0702	0.0915	0.4527	-0.7935	0.4067
MEG2323	0.0646	-0.0754	0.0583	0.5917	-0.7894	0.1634
MEG2322	0.0646	-0.0754	0.0583	0.5917	-0.7894	0.1634
MEG2321	0.0646	-0.0754	0.0583	0.5917	-0.7894	0.1634
MEG2332	0.0339	-0.0951	0.0259	0.3234	-0.9443	0.0605
MEG2333	0.0339	-0.0951	0.0259	0.3234	-0.9443	0.0605
MEG2331	0.0339	-0.0951	0.0259	0.3234	-0.9443	0.0605
MEG2343	0.0341	-0.0904	0.0597	0.3168	-0.9251	0.2095
MEG2342	0.0341	-0.0904	0.0597	0.3168	-0.9251	0.2095
MEG2341	0.0341	-0.0904	0.0597	0.3168	-0.9251	0.2095
MEG2412	0.096	-0.0147	0.0862	0.896	-0.2729	0.3503
MEG2413	0.096	-0.0147	0.0862	0.896	-0.2729	0.3503
MEG2411	0.096	-0.0147	0.0862	0.896	-0.2729	0.3503
MEG2423	0.1026	-0.0208	0.0531	0.9465	-0.3069	0.0995
MEG2422	0.1026	-0.0208	0.0531	0.9465	-0.3069	0.0995
MEG2421	0.1026	-0.0208	0.0531	0.9465	-0.3069	0.0995
MEG2433	0.0875	-0.0509	0.0556	0.8338	-0.5381	0.1235
